14.0	314
14.1	326
14.2	340
14.3	334
14.4	316
14.5	298
14.6	313
14.7	323
14.8	331
14.9	332
15.0	306
15.1	321
15.2	423
15.3	502
15.4	480
15.5	368
15.6	385
15.7	533
15.8	858
15.9	736
16.0	363
16.1	323
16.2	306
16.3	307
16.4	300
16.5	267
16.6	260
16.7	288
16.8	267
16.9	264
17.0	257
17.1	285
17.2	272
17.3	271
17.4	279
17.5	303
17.6	358
17.7	351
17.8	443
17.9	885
18.0	1586
18.1	1203
18.2	802
18.3	870
18.4	865
18.5	2089
18.6	2578
18.7	1248
18.8	714
18.9	699
19.0	400
19.1	303
19.2	263
19.3	262
19.4	263
19.5	258
19.6	242
19.7	242
19.8	262
19.9	254
20.0	267
20.1	231
20.2	232
20.3	262
20.4	228
20.5	231
20.6	276
20.7	305
20.8	268
20.9	215
21.0	261
21.1	268
21.2	351
21.3	543
21.4	1906
21.5	3717
21.6	2699
21.7	1118
21.8	479
21.9	271
22.0	221
22.1	204
22.2	176
22.3	187
22.4	165
22.5	164
22.6	162
22.7	175
22.8	157
22.9	154
23.0	141
23.1	151
23.2	170
23.3	138
23.4	152
23.5	132
23.6	134
23.7	127
23.8	124
23.9	127
24.0	119
24.1	118
24.2	133
24.3	135
24.4	132
24.5	166
24.6	215
24.7	198
24.8	125
24.9	116
25.0	106
25.1	102
25.2	97
25.3	111
25.4	105
25.5	95
25.6	97
25.7	104
25.8	99
25.9	93
26.0	82
26.1	91
26.2	78
26.3	92
26.4	78
26.5	82
26.6	83
26.7	85
26.8	82
26.9	69
27.0	79
27.1	74
27.2	72
27.3	61
27.4	66
27.5	80
27.6	67
27.7	69
27.8	66
27.9	60
28.0	62
28.1	51
28.2	53
28.3	69
28.4	65
28.5	53
28.6	50
28.7	62
28.8	61
28.9	63
29.0	55
29.1	61
29.2	54
29.3	58
29.4	51
29.5	45
29.6	56
29.7	42
29.8	51
29.9	50
30.0	45
30.1	50
30.2	53
30.3	47
30.4	58
30.5	54
30.6	47
30.7	47
30.8	51
30.9	42
31.0	46
31.1	54
31.2	50
31.3	45
31.4	35
31.5	40
31.6	44
31.7	48
31.8	56
31.9	54
32.0	53
32.1	57
32.2	54
32.3	47
32.4	42
32.5	36
32.6	38
32.7	46
32.8	51
32.9	70
33.0	158
33.1	97
33.2	51
33.3	49
33.4	36
33.5	45
33.6	39
33.7	28
33.8	35
33.9	36
34.0	38
34.1	38
34.2	34
34.3	40
34.4	37
34.5	39
34.6	36
34.7	34
34.8	32
34.9	27
35.0	36
35.1	31
35.2	32
35.3	24
35.4	31
35.5	27
35.6	37
35.7	35
35.8	33
35.9	30
36.0	34
36.1	34
36.2	31
36.3	33
36.4	36
36.5	34
36.6	31
36.7	31
36.8	26
36.9	37
37.0	37
37.1	32
37.2	28
37.3	44
37.4	29
37.5	37
37.6	40
37.7	36
37.8	42
37.9	63
38.0	102
38.1	212
38.2	181
38.3	74
38.4	40
38.5	39
38.6	46
38.7	73
38.8	100
38.9	68
39.0	41
39.1	44
39.2	45
39.3	84
39.4	243
39.5	452
39.6	238
39.7	71
39.8	49
39.9	48
40.0	49
40.1	57
40.2	93
40.3	64
40.4	45
40.5	31
40.6	30
40.7	33
40.8	25
40.9	27
41.0	29
41.1	29
41.2	24
41.3	24
41.4	33
41.5	30
41.6	27
41.7	29
41.8	17
41.9	27
42.0	27
42.1	26
42.2	31
42.3	23
42.4	20
42.5	26
42.6	32
42.7	22
42.8	23
42.9	22
43.0	22
43.1	26
43.2	29
43.3	27
43.4	19
43.5	19
43.6	24
43.7	21
43.8	23
43.9	18
44.0	24
44.1	22
44.2	26
44.3	29
44.4	22
44.5	22
44.6	21
44.7	23
44.8	32
44.9	31
45.0	26
45.1	15
45.2	24
45.3	26
45.4	19
45.5	25
45.6	19
45.7	21
45.8	25
45.9	23
46.0	22
46.1	20
46.2	24
46.3	28
46.4	29
46.5	28
46.6	26
46.7	39
46.8	49
46.9	96
47.0	293
47.1	645
47.2	390
47.3	116
47.4	62
47.5	82
47.6	90
47.7	62
47.8	32
47.9	21
48.0	25
48.1	23
48.2	19
48.3	26
48.4	20
48.5	20
48.6	21
48.7	19
48.8	19
48.9	18
49.0	21
49.1	18
49.2	23
49.3	21
49.4	17
49.5	13
49.6	15
49.7	20
49.8	23
49.9	23
50.0	19
50.1	21
50.2	22
50.3	17
50.4	15
50.5	15
50.6	18
50.7	22
50.8	24
50.9	16
51.0	17
51.1	18
51.2	15
51.3	18
51.4	15
51.5	15
51.6	19
51.7	18
51.8	18
51.9	16
52.0	20
52.1	17
52.2	23
52.3	17
52.4	20
52.5	19
52.6	19
52.7	29
52.8	22
52.9	19
53.0	16
53.1	20
53.2	20
53.3	16
53.4	18
53.5	21
53.6	14
53.7	19
53.8	14
53.9	22
54.0	18
54.1	15
54.2	13
54.3	18
54.4	16
54.5	12
54.6	19
54.7	20
54.8	35
54.9	39
55.0	26
55.1	20
55.2	20
55.3	16
55.4	21
55.5	15
55.6	21
55.7	11
55.8	19
55.9	15
56.0	21
56.1	15
56.2	21
56.3	26
56.4	32
56.5	33
56.6	22
56.7	21
56.8	16
56.9	25
57.0	14
57.1	16
57.2	19
57.3	12
57.4	15
57.5	22
57.6	19
57.7	19
57.8	16
57.9	16
58.0	18
58.1	15
58.2	15
58.3	17
58.4	18
58.5	21
58.6	19
58.7	22
58.8	20
58.9	18
59.0	20
